Invoice ID,warehouse_name,Shipment_mode,Product line,Unit price,Quantity,shipping cost,Date,Time,Payment,Unit cost,Rating,Customer_ID,Customer type
750-67-8428,WH1,ExpressAir,Health and beauty,74.69,7,7.469,1/5/2019,13:08,Ewallet,67.221,3.1,1,Member
226-31-3081,WH2,ExpressAir,Electronic accessories,15.28,5,1.528,3/8/2019,10:29,Cash,13.752,3.1,2,Normal
631-41-3108,WH1,Regular Air,Home and lifestyle,46.33,7,2.3165,3/3/2019,13:23,Credit card,41.697,3.1,3,Normal
123-19-1176,WH1,Regular Air,Health and beauty,58.22,8,2.911,1/27/2019,20:33,Ewallet,52.398,3.5,4,Member
373-73-7910,WH1,Special Air  ,Sports and travel,86.31,7,6.9048,2/8/2019,10:37,Ewallet,77.679,2.7,5,Normal
699-14-3026,WH2,Regular Air,Electronic accessories,85.39,7,4.2695,3/25/2019,18:30,Ewallet,76.851,2.9,6,Normal
355-53-5943,WH1,Special Air  ,Electronic accessories,68.84,6,5.5072,2/25/2019,14:36,Ewallet,61.956,3.2,7,Member
315-22-5665,WH2,Special Air  ,Home and lifestyle,73.56,10,5.8848,2/24/2019,11:38,Ewallet,66.204,3.2,8,Normal
665-32-9167,WH1,Regular Air,Health and beauty,36.26,2,1.813,1/10/2019,17:15,Credit card,32.634,2.6,9,Member
692-92-5582,WH3,Regular Air,Food and beverages,54.84,3,2.742,2/20/2019,13:27,Credit card,49.356,4.8,10,Member
351-62-0822,WH3,Special Air  ,Fashion accessories,14.48,4,1.1584,2/6/2019,18:07,Ewallet,13.032,4.1,11,Member
529-56-3974,WH3,Special Air  ,Electronic accessories,25.51,4,2.0408,3/9/2019,17:03,Cash,22.959,4.9,12,Member
365-64-0515,WH1,Special Air  ,Electronic accessories,46.95,5,3.756,2/12/2019,10:25,Ewallet,42.255,4.5,13,Normal
252-56-2699,WH1,Special Air  ,Food and beverages,43.19,10,3.4552,2/7/2019,16:48,Ewallet,38.871,4.7,14,Normal
829-34-3910,WH1,Special Air  ,Health and beauty,71.38,10,5.7104,3/29/2019,19:21,Cash,64.242,4.7,15,Normal
299-46-1805,WH3,ExpressAir,Sports and travel,93.72,6,9.372,1/15/2019,16:19,Cash,84.348,2.8,16,Member
656-95-9349,WH1,Special Air  ,Health and beauty,68.93,7,5.5144,3/11/2019,11:03,Credit card,62.037,4.1,17,Member
765-26-6951,WH1,ExpressAir,Sports and travel,72.61,6,7.261,1/1/2019,10:39,Credit card,65.349,4.7,18,Normal
329-62-1586,WH1,Special Air  ,Food and beverages,54.67,3,4.3736,1/21/2019,18:00,Credit card,49.203,4.6,19,Normal
319-50-3348,WH3,ExpressAir,Home and lifestyle,40.3,2,4.03,3/11/2019,15:30,Ewallet,36.27,3.3,20,Normal
300-71-4605,WH2,ExpressAir,Electronic accessories,86.04,5,8.604,2/25/2019,11:24,Ewallet,77.436,2.8,21,Member
371-85-5789,WH3,ExpressAir,Health and beauty,87.98,3,8.798,3/5/2019,10:40,Ewallet,79.182,4.1,22,Normal
273-16-6619,WH3,Regular Air,Home and lifestyle,33.2,2,1.66,3/15/2019,12:20,Credit card,29.88,3.2,23,Normal
636-48-8204,WH1,ExpressAir,Electronic accessories,34.56,5,3.456,2/17/2019,11:15,Ewallet,31.104,4.4,24,Normal
549-59-1358,WH1,Special Air  ,Sports and travel,88.63,3,7.0904,3/2/2019,17:36,Ewallet,79.767,2.9,25,Member
227-03-5010,WH1,Regular Air,Home and lifestyle,52.59,8,2.6295,3/22/2019,19:20,Credit card,47.331,3.6,26,Member
649-29-6775,WH3,ExpressAir,Fashion accessories,33.52,1,3.352,2/8/2019,15:31,Cash,30.168,3.6,27,Normal
189-17-4241,WH1,Special Air  ,Fashion accessories,87.67,2,7.0136,3/10/2019,12:17,Credit card,78.903,5,28,Normal
145-94-9061,WH3,Special Air  ,Food and beverages,88.36,5,7.0688,1/25/2019,19:48,Cash,79.524,4.4,29,Normal
848-62-7243,WH1,ExpressAir,Health and beauty,24.89,9,2.489,3/15/2019,15:36,Cash,22.401,4.1,30,Normal
871-79-8483,WH3,ExpressAir,Fashion accessories,94.13,5,9.413,2/25/2019,19:39,Credit card,84.717,4.7,31,Normal
149-71-6266,WH3,ExpressAir,Sports and travel,78.07,9,7.807,1/28/2019,12:43,Cash,70.263,4.7,32,Member
640-49-2076,WH3,Regular Air,Sports and travel,83.78,8,4.189,1/10/2019,14:49,Cash,75.402,4.9,33,Normal
595-11-5460,WH1,Special Air  ,Health and beauty,96.58,2,7.7264,3/15/2019,10:12,Credit card,86.922,3.3,34,Normal
183-56-6882,WH2,Special Air  ,Food and beverages,99.42,4,7.9536,2/6/2019,10:42,Ewallet,89.478,4.6,35,Member
232-16-2483,WH2,Regular Air,Sports and travel,68.12,1,3.406,1/7/2019,12:28,Ewallet,61.308,4,36,Member
129-29-8530,WH1,Special Air  ,Sports and travel,62.62,5,5.0096,3/10/2019,19:15,Ewallet,56.358,4.6,37,Member
272-65-1806,WH1,ExpressAir,Electronic accessories,60.88,9,6.088,1/15/2019,17:17,Ewallet,54.792,2.8,38,Normal
