Invoice ID,Product line,Date,Quantity,Shipment_mode,shipping cost,Payment,warehouse_name
750-67-8428,Health and beauty,2019-01-05,7,ExpressAir,7.469,Ewallet,WH1
226-31-3081,Electronic accessories,2019-03-08,5,ExpressAir,1.528,Cash,WH2
631-41-3108,Home and lifestyle,2019-03-03,7,Regular Air,2.3165,Credit card,WH1
123-19-1176,Health and beauty,2019-01-27,8,Regular Air,2.911,Ewallet,WH1
373-73-7910,Sports and travel,2019-02-08,7,Special Air  ,6.9048,Ewallet,WH1
699-14-3026,Electronic accessories,2019-03-25,7,Regular Air,4.2695,Ewallet,WH2
355-53-5943,Electronic accessories,2019-02-25,6,Special Air  ,5.5072,Ewallet,WH1
315-22-5665,Home and lifestyle,2019-02-24,10,Special Air  ,5.8848,Ewallet,WH2
665-32-9167,Health and beauty,2019-01-10,2,Regular Air,1.813,Credit card,WH1
692-92-5582,Food and beverages,2019-02-20,3,Regular Air,2.742,Credit card,WH3
351-62-0822,Fashion accessories,2019-02-06,4,Special Air  ,1.1584,Ewallet,WH3
529-56-3974,Electronic accessories,2019-03-09,4,Special Air  ,2.0408,Cash,WH3
365-64-0515,Electronic accessories,2019-02-12,5,Special Air  ,3.756,Ewallet,WH1
252-56-2699,Food and beverages,2019-02-07,10,Special Air  ,3.4552,Ewallet,WH1
829-34-3910,Health and beauty,2019-03-29,10,Special Air  ,5.7104,Cash,WH1
299-46-1805,Sports and travel,2019-01-15,6,ExpressAir,9.372,Cash,WH3
656-95-9349,Health and beauty,2019-03-11,7,Special Air  ,5.5144,Credit card,WH1
765-26-6951,Sports and travel,2019-01-01,6,ExpressAir,7.261,Credit card,WH1
329-62-1586,Food and beverages,2019-01-21,3,Special Air  ,4.3736,Credit card,WH1
319-50-3348,Home and lifestyle,2019-03-11,2,ExpressAir,4.03,Ewallet,WH3
300-71-4605,Electronic accessories,2019-02-25,5,ExpressAir,8.604,Ewallet,WH2
371-85-5789,Health and beauty,2019-03-05,3,ExpressAir,8.798,Ewallet,WH3
273-16-6619,Home and lifestyle,2019-03-15,2,Regular Air,1.66,Credit card,WH3
636-48-8204,Electronic accessories,2019-02-17,5,ExpressAir,3.456,Ewallet,WH1
549-59-1358,Sports and travel,2019-03-02,3,Special Air  ,7.0904,Ewallet,WH1
227-03-5010,Home and lifestyle,2019-03-22,8,Regular Air,2.6295,Credit card,WH1
649-29-6775,Fashion accessories,2019-02-08,1,ExpressAir,3.352,Cash,WH3
189-17-4241,Fashion accessories,2019-03-10,2,Special Air  ,7.0136,Credit card,WH1
145-94-9061,Food and beverages,2019-01-25,5,Special Air  ,7.0688,Cash,WH3
848-62-7243,Health and beauty,2019-03-15,9,ExpressAir,2.489,Cash,WH1
871-79-8483,Fashion accessories,2019-02-25,5,ExpressAir,9.413,Credit card,WH3
149-71-6266,Sports and travel,2019-01-28,9,ExpressAir,7.807,Cash,WH3
640-49-2076,Sports and travel,2019-01-10,8,Regular Air,4.189,Cash,WH3
595-11-5460,Health and beauty,2019-03-15,2,Special Air  ,7.7264,Credit card,WH1
183-56-6882,Food and beverages,2019-02-06,4,Special Air  ,7.9536,Ewallet,WH2
232-16-2483,Sports and travel,2019-01-07,1,Regular Air,3.406,Ewallet,WH2
129-29-8530,Sports and travel,2019-03-10,5,Special Air  ,5.0096,Ewallet,WH1
272-65-1806,Electronic accessories,2019-01-15,9,ExpressAir,6.088,Ewallet,WH1
333-73-7901,Health and beauty,2019-03-23,8,ExpressAir,5.492,Ewallet,WH2
777-82-7220,Home and lifestyle,2019-03-03,8,Regular Air,1.506,Cash,WH3
280-35-5823,Home and lifestyle,2019-01-17,1,Special Air  ,6.9376,Ewallet,WH3
554-53-8700,Home and lifestyle,2019-02-02,2,ExpressAir,5.611,Cash,WH2
354-25-5821,Sports and travel,2019-02-08,6,Special Air  ,5.5296,Cash,WH3
228-96-1411,Food and beverages,2019-03-04,8,Regular Air,4.935,Cash,WH2
617-15-4209,Health and beauty,2019-03-16,2,ExpressAir,1.537,Cash,WH2
132-32-9879,Electronic accessories,2019-03-09,4,Special Air  ,7.5168,Cash,WH3
370-41-7321,Health and beauty,2019-02-27,9,Regular Air,2.8345,Credit card,WH3
727-46-3608,Food and beverages,2019-02-06,9,Special Air  ,1.6008,Ewallet,WH3
669-54-1719,Electronic accessories,2019-02-10,6,ExpressAir,1.893,Credit card,WH3
574-22-5561,Fashion accessories,2019-03-19,10,Special Air  ,6.6104,Ewallet,WH2
326-78-5178,Food and beverages,2019-02-03,7,ExpressAir,9.14,Cash,WH2
162-48-8011,Food and beverages,2019-02-10,5,Special Air  ,3.5672,Cash,WH1
616-24-2851,Fashion accessories,2019-03-22,4,ExpressAir,1.787,Ewallet,WH3
778-71-5554,Fashion accessories,2019-01-25,1,Regular Air,0.7715,Credit card,WH2
242-55-6721,Home and lifestyle,2019-03-07,2,Regular Air,0.808,Ewallet,WH3
399-46-5918,Electronic accessories,2019-02-28,8,ExpressAir,8.598,Cash,WH2
106-35-6779,Home and lifestyle,2019-03-27,2,Regular Air,2.217,Cash,WH1
635-40-6220,Health and beauty,2019-02-07,8,Regular Air,4.48,Ewallet,WH1
817-48-8732,Home and lifestyle,2019-01-20,10,Regular Air,3.6175,Cash,WH1
120-06-4233,Electronic accessories,2019-03-12,6,Special Air  ,2.4488,Cash,WH2
285-68-5083,Sports and travel,2019-02-15,3,Special Air  ,1.9792,Credit card,WH2
803-83-5989,Home and lifestyle,2019-02-24,6,ExpressAir,5.573,Ewallet,WH2
347-34-2234,Sports and travel,2019-02-03,9,Regular Air,2.7535,Ewallet,WH3
199-75-8169,Sports and travel,2019-03-06,10,ExpressAir,1.581,Credit card,WH1
853-23-2453,Health and beauty,2019-02-14,4,ExpressAir,7.574,Cash,WH3
877-22-3308,Health and beauty,2019-03-13,10,Special Air  ,1.2696,Cash,WH1
838-78-4295,Health and beauty,2019-02-10,2,Special Air  ,2.6776,Ewallet,WH2
109-28-2512,Fashion accessories,2019-01-07,6,ExpressAir,9.761,Ewallet,WH3
232-11-3025,Sports and travel,2019-01-24,10,Regular Air,3.9385,Cash,WH1
382-03-4532,Health and beauty,2019-02-02,1,Special Air  ,1.4664,Cash,WH1
393-65-2792,Food and beverages,2019-01-06,10,Special Air  ,7.1584,Credit card,WH2
796-12-2025,Fashion accessories,2019-02-11,10,ExpressAir,6.212,Cash,WH2
510-95-6347,Food and beverages,2019-03-05,3,ExpressAir,4.852,Ewallet,WH3
841-35-6630,Electronic accessories,2019-03-09,6,Regular Air,3.7955,Cash,WH2
287-21-9091,Home and lifestyle,2019-01-22,9,ExpressAir,7.467,Ewallet,WH1
732-94-0499,Electronic accessories,2019-01-13,10,ExpressAir,4.165,Credit card,WH2
263-10-3913,Fashion accessories,2019-01-09,9,Regular Air,2.452,Credit card,WH2
381-20-0914,Fashion accessories,2019-01-12,9,Regular Air,1.0005,Credit card,WH1
829-49-1914,Food and beverages,2019-03-05,10,Special Air  ,6.2648,Ewallet,WH2
756-01-7507,Health and beauty,2019-01-22,5,ExpressAir,2.038,Cash,WH2
870-72-4431,Health and beauty,2019-01-21,6,ExpressAir,9.919,Credit card,WH2
847-38-7188,Food and beverages,2019-01-26,3,ExpressAir,9.668,Ewallet,WH3
480-63-2856,Food and beverages,2019-01-23,8,Regular Air,0.9625,Ewallet,WH2
787-56-0757,Food and beverages,2019-02-23,4,Special Air  ,6.4288,Credit card,WH2
360-39-5055,Sports and travel,2019-03-09,5,Regular Air,2.4455,Cash,WH2
730-50-9884,Sports and travel,2019-03-05,7,Regular Air,4.153,Ewallet,WH2
362-58-8315,Fashion accessories,2019-03-25,5,Special Air  ,6.1216,Cash,WH2
633-44-8566,Food and beverages,2019-03-27,7,Special Air  ,3.9504,Credit card,WH1
504-35-8843,Sports and travel,2019-01-02,1,Special Air  ,3.3976,Cash,WH1
318-68-5053,Health and beauty,2019-02-27,6,ExpressAir,7.699,Cash,WH3
565-80-5980,Home and lifestyle,2019-01-23,4,ExpressAir,4.738,Cash,WH2
225-32-0908,Sports and travel,2019-01-26,10,ExpressAir,4.486,Ewallet,WH2
873-51-0671,Sports and travel,2019-01-10,7,ExpressAir,2.198,Ewallet,WH1
152-08-9985,Health and beauty,2019-03-12,9,Special Air  ,5.1488,Credit card,WH3
512-91-0811,Health and beauty,2019-02-06,1,Regular Air,4.4875,Credit card,WH2
594-34-4444,Electronic accessories,2019-03-08,1,Regular Air,4.858,Ewallet,WH1
766-85-7061,Health and beauty,2019-03-29,10,Regular Air,4.3935,Ewallet,WH3
871-39-9221,Electronic accessories,2019-02-09,6,Special Air  ,0.996,Cash,WH2
865-92-6136,Food and beverages,2019-03-23,3,Special Air  ,4.22,Ewallet,WH1
733-01-9107,Home and lifestyle,2019-03-05,6,Special Air  ,6.616,Cash,WH3
163-56-7055,Fashion accessories,2019-03-26,1,ExpressAir,4.871,Cash,WH2
189-98-2939,Fashion accessories,2019-03-01,9,ExpressAir,7.855,Cash,WH2
551-21-3069,Electronic accessories,2019-02-01,9,Special Air  ,1.8456,Cash,WH2
212-62-1842,Food and beverages,2019-03-28,6,Regular Air,2.913,Cash,WH1
716-39-1409,Health and beauty,2019-03-19,7,Regular Air,1.5175,Cash,WH3
704-48-3927,Electronic accessories,2019-01-12,10,Regular Air,4.4335,Ewallet,WH1
628-34-3388,Fashion accessories,2019-01-05,6,Special Air  ,2.1904,Credit card,WH2
630-74-5166,Sports and travel,2019-03-22,6,ExpressAir,6.213,Cash,WH1
588-01-7461,Food and beverages,2019-03-24,9,Regular Air,1.699,Cash,WH2
861-77-0145,Electronic accessories,2019-03-03,10,Special Air  ,6.5576,Cash,WH2
479-26-8945,Sports and travel,2019-02-05,2,ExpressAir,1.649,Ewallet,WH3
210-67-5886,Health and beauty,2019-02-05,3,ExpressAir,9.821,Credit card,WH2
227-78-1148,Fashion accessories,2019-02-15,7,ExpressAir,7.284,Cash,WH3
645-44-1170,Home and lifestyle,2019-01-19,9,ExpressAir,5.807,Ewallet,WH1
237-01-6122,Home and lifestyle,2019-02-01,9,Regular Air,4.0395,Credit card,WH2
225-98-1496,Fashion accessories,2019-03-02,3,Special Air  ,2.1616,Credit card,WH2
291-32-1427,Fashion accessories,2019-03-05,5,Special Air  ,1.7552,Ewallet,WH3
659-65-8956,Fashion accessories,2019-01-16,1,Special Air  ,4.1088,Ewallet,WH3
642-32-2990,Food and beverages,2019-02-02,10,ExpressAir,1.096,Ewallet,WH1
378-24-2715,Home and lifestyle,2019-01-20,2,ExpressAir,5.344,Ewallet,WH3
638-60-7125,Electronic accessories,2019-02-14,8,ExpressAir,9.956,Credit card,WH1
659-36-1684,Sports and travel,2019-01-12,7,Regular Air,2.856,Credit card,WH2
219-22-9386,Sports and travel,2019-03-09,9,Special Air  ,7.9968,Credit card,WH3
336-78-2147,Home and lifestyle,2019-03-13,8,Special Air  ,5.1128,Credit card,WH2
268-27-6179,Fashion accessories,2019-03-09,8,Regular Air,2.8235,Ewallet,WH3
668-90-8900,Home and lifestyle,2019-03-10,7,ExpressAir,9.369,Credit card,WH1
870-54-3162,Sports and travel,2019-01-27,5,Regular Air,1.6125,Cash,WH1
189-08-9157,Fashion accessories,2019-01-08,9,Regular Air,1.5865,Credit card,WH2
663-86-9076,Food and beverages,2019-01-08,8,Special Air  ,5.4832,Ewallet,WH2
549-84-7482,Sports and travel,2019-02-08,9,ExpressAir,9.028,Ewallet,WH3
191-10-6171,Fashion accessories,2019-01-25,7,Special Air  ,3.1696,Cash,WH3
802-70-5316,Sports and travel,2019-03-06,6,Special Air  ,7.3704,Cash,WH1
695-51-0018,Sports and travel,2019-02-10,4,Regular Air,1.742,Cash,WH3
590-83-4591,Electronic accessories,2019-02-17,6,Regular Air,4.3725,Credit card,WH3
483-71-1164,Health and beauty,2019-03-08,6,Regular Air,4.065,Ewallet,WH2
597-78-7908,Fashion accessories,2019-02-18,3,Regular Air,4.511,Cash,WH2
700-81-1757,Electronic accessories,2019-01-18,5,Special Air  ,2.1048,Credit card,WH1
354-39-5160,Home and lifestyle,2019-02-18,6,ExpressAir,3.442,Cash,WH1
241-72-9525,Sports and travel,2019-02-16,10,Special Air  ,4.1528,Cash,WH3
